time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,180.0000,180.0000,180.0000,180.0000,-128.4457,-128.8660,53.9081,-9.9240,
0.0167,180.0000,180.0000,180.0000,180.0000,-128.4459,-128.8665,53.9084,-9.9240,
0.0250,180.0000,180.0000,180.0000,180.0000,-128.4460,-128.8670,53.9087,-9.9240,
0.0333,180.0000,180.0000,180.0000,180.0000,-128.4461,-128.8676,53.9091,-9.9240,
0.0417,180.0000,180.0000,180.0000,180.0000,-128.4461,-128.8680,53.9093,-9.9240,
0.0500,180.0000,180.0000,180.0000,180.0000,-128.4462,-128.8683,53.9096,-9.9240,
0.0583,180.0000,180.0000,180.0000,180.0000,-128.4462,-128.8686,53.9099,-9.9240,
0.0667,180.0000,180.0000,180.0000,180.0000,-128.4463,-128.8687,53.9101,-9.9240,
0.0750,180.0000,180.0000,180.0000,180.0000,-128.4463,-128.8687,53.9104,-9.9240,
0.0833,180.0000,180.0000,180.0000,180.0000,-128.4463,-128.8687,53.9107,-9.9240,
0.0917,180.0000,180.0000,180.0000,180.0000,-128.4464,-128.8687,53.9110,-9.9240,
0.1000,180.0000,180.0000,180.0000,180.0000,-128.4464,-128.8686,53.9114,-9.9240,
0.1083,180.0000,180.0000,180.0000,180.0000,-128.4465,-128.8684,53.9118,-9.9240,
0.1167,180.0000,180.0000,180.0000,180.0000,-128.4466,-128.8683,53.9122,-9.9240,
0.1250,180.0000,180.0000,180.0000,180.0000,-128.4467,-128.8680,53.9126,-9.9240,
0.1333,180.0000,180.0000,180.0000,180.0000,-128.4468,-128.8678,53.9131,-9.9240,
0.1417,180.0000,180.0000,180.0000,180.0000,-128.4469,-128.8676,53.9135,-9.9240,
0.1500,180.0000,180.0000,180.0000,180.0000,-128.4470,-128.8674,53.9139,-9.9240,
0.1583,180.0000,180.0000,180.0000,180.0000,-128.4471,-128.8673,53.9142,-9.9240,
0.1667,180.0000,180.0000,180.0000,180.0000,-128.4471,-128.8672,53.9145,-9.9240,
0.1750,180.0000,180.0000,180.0000,180.0000,-128.4472,-128.8671,53.9148,-9.9240,
0.1833,180.0000,180.0000,180.0000,180.0000,-128.4472,-128.8670,53.9150,-9.9240,
0.1917,180.0000,180.0000,180.0000,180.0000,-128.4472,-128.8669,53.9152,-9.9240,
0.2000,180.0000,180.0000,180.0000,180.0000,-128.4473,-128.8669,53.9153,-9.9240,
0.2083,180.0000,180.0000,180.0000,180.0000,-128.4473,-128.8668,53.9154,-9.9240,
0.2167,180.0000,180.0000,180.0000,180.0000,-128.4472,-128.8668,53.9155,-9.9240,
0.2250,180.0000,180.0000,180.0000,180.0000,-128.4472,-128.8667,53.9156,-9.9240,
0.2333,180.0000,180.0000,180.0000,180.0000,-128.4472,-128.8666,53.9156,-9.9240,
0.2417,180.0000,180.0000,180.0000,180.0000,-128.4472,-128.8665,53.9157,-9.9240,
0.2500,180.0000,180.0000,180.0000,180.0000,-128.4472,-128.8664,53.9158,-9.9240,
0.2583,180.0000,180.0000,180.0000,180.0000,-128.4472,-128.8662,53.9160,-9.9240,
0.2667,180.0000,180.0000,180.0000,180.0000,-128.4472,-128.8661,53.9162,-9.9240,
0.2750,180.0000,180.0000,180.0000,180.0000,-128.4472,-128.8661,53.9165,-9.9240,
0.2833,180.0000,180.0000,180.0000,180.0000,-128.4472,-128.8661,53.9167,-9.9240,
0.2917,180.0000,180.0000,180.0000,180.0000,-128.4472,-128.8663,53.9170,-9.9240,
0.3000,180.0000,180.0000,180.0000,180.0000,-128.4471,-128.8668,53.9172,-9.9240,
0.3083,180.0000,180.0000,180.0000,180.0000,-128.4470,-128.8676,53.9174,-9.9240,
0.3167,180.0000,180.0000,180.0000,180.0000,-128.4469,-128.8688,53.9175,-9.9240,
0.3250,180.0000,180.0000,180.0000,180.0000,-128.4467,-128.8705,53.9175,-9.9240,
0.3333,180.0000,180.0000,180.0000,180.0000,-128.4464,-128.8728,53.9174,-9.9240,
0.3417,180.0000,180.0000,180.0000,180.0000,-128.4460,-128.8758,53.9172,-9.9240,
0.3500,180.0000,180.0000,180.0000,180.0000,-128.4456,-128.8794,53.9169,-9.9240,
0.3583,180.0000,180.0000,180.0000,180.0000,-128.4451,-128.8837,53.9165,-9.9240,
0.3667,180.0000,180.0000,180.0000,180.0000,-128.4445,-128.8887,53.9160,-9.9240,
0.3750,180.0000,180.0000,180.0000,180.0000,-128.4440,-128.8941,53.9155,-9.9240,
0.3833,180.0000,180.0000,180.0000,180.0000,-128.4434,-128.9000,53.9148,-9.9240,
0.3917,180.0000,180.0000,180.0000,180.0000,-128.4429,-128.9060,53.9140,-9.9240,
0.4000,180.0000,180.0000,180.0000,180.0000,-128.4425,-128.9118,53.9132,-9.9240,
0.4083,180.0000,180.0000,180.0000,180.0000,-128.4421,-128.9172,53.9124,-9.9240,
0.4167,180.0000,180.0000,180.0000,180.0000,-128.4419,-128.9220,53.9116,-9.9240,
0.4250,180.0000,180.0000,180.0000,180.0000,-128.4417,-128.9262,53.9107,-9.9240,
0.4333,180.0000,180.0000,180.0000,180.0000,-128.4416,-128.9300,53.9098,-9.9240,
0.4417,180.0000,180.0000,180.0000,180.0000,-128.4416,-128.9341,53.9090,-9.9240,
0.4500,180.0000,180.0000,180.0000,180.0000,-128.4417,-128.9390,53.9083,-9.9240,
0.4583,180.0000,180.0000,180.0000,180.0000,-128.4418,-128.9456,53.9076,-9.9240,
0.4667,180.0000,180.0000,180.0000,180.0000,-128.4418,-128.9544,53.9070,-9.9241,
0.4750,180.0000,180.0000,180.0000,180.0000,-128.4419,-128.9655,53.9064,-9.9241,
0.4833,180.0000,180.0000,180.0000,180.0000,-128.4418,-128.9784,53.9057,-9.9241,
0.4917,180.0000,180.0000,180.0000,180.0000,-128.4417,-128.9916,53.9049,-9.9241,
0.5000,180.0000,180.0000,180.0000,180.0000,-128.4415,-129.0037,53.9037,-9.9241,
0.5083,180.0000,180.0000,180.0000,180.0000,-128.4413,-129.0137,53.9022,-9.9241,
0.5167,180.0000,180.0000,180.0000,180.0000,-128.4412,-129.0210,53.9001,-9.9241,
0.5250,180.0000,180.0000,180.0000,180.0000,-128.4413,-129.0259,53.8972,-9.9241,
0.5333,180.0000,180.0000,180.0000,180.0000,-128.4415,-129.0289,53.8936,-9.9241,
0.5417,180.0000,180.0000,180.0000,180.0000,-128.4420,-129.0304,53.8891,-9.9241,
0.5500,180.0000,180.0000,180.0000,180.0000,-128.4427,-129.0309,53.8841,-9.9241,
0.5583,180.0000,180.0000,180.0000,180.0000,-128.4436,-129.0310,53.8789,-9.9241,
0.5667,180.0000,180.0000,180.0000,180.0000,-128.4447,-129.0309,53.8738,-9.9241,
0.5750,180.0000,180.0000,180.0000,180.0000,-128.4460,-129.0308,53.8693,-9.9241,
0.5833,180.0000,180.0000,180.0000,180.0000,-128.4474,-129.0309,53.8655,-9.9241,
0.5917,180.0000,180.0000,180.0000,180.0000,-128.4490,-129.0311,53.8624,-9.9241,
0.6000,180.0000,180.0000,180.0000,180.0000,-128.4506,-129.0315,53.8600,-9.9241,
0.6083,180.0000,180.0000,180.0000,180.0000,-128.4522,-129.0319,53.8581,-9.9241,
0.6167,180.0000,180.0000,180.0000,180.0000,-128.4539,-129.0322,53.8564,-9.9241,
0.6250,180.0000,180.0000,180.0000,180.0000,-128.4557,-129.0323,53.8549,-9.9241,
0.6333,180.0000,180.0000,180.0000,180.0000,-128.4575,-129.0322,53.8533,-9.9241,
0.6417,180.0000,180.0000,180.0000,180.0000,-128.4593,-129.0320,53.8517,-9.9241,
0.6500,180.0000,180.0000,180.0000,180.0000,-128.4612,-129.0319,53.8499,-9.9241,
0.6583,180.0000,180.0000,180.0000,180.0000,-128.4631,-129.0320,53.8479,-9.9241,
0.6667,180.0000,180.0000,180.0000,180.0000,-128.4651,-129.0324,53.8458,-9.9241,
0.6750,180.0000,180.0000,180.0000,180.0000,-128.4672,-129.0331,53.8435,-9.9241,
0.6833,180.0000,180.0000,180.0000,180.0000,-128.4694,-129.0340,53.8411,-9.9241,
0.6917,180.0000,180.0000,180.0000,180.0000,-128.4717,-129.0351,53.8387,-9.9241,
0.7000,180.0000,180.0000,180.0000,180.0000,-128.4741,-129.0365,53.8364,-9.9241,
0.7083,180.0000,180.0000,180.0000,180.0000,-128.4768,-129.0380,53.8341,-9.9241,
0.7167,180.0000,180.0000,180.0000,180.0000,-128.4796,-129.0396,53.8320,-9.9241,
0.7250,180.0000,180.0000,180.0000,180.0000,-128.4826,-129.0413,53.8301,-9.9241,
0.7333,180.0000,180.0000,180.0000,180.0000,-128.4859,-129.0430,53.8283,-9.9241,
0.7417,180.0000,180.0000,180.0000,180.0000,-128.4894,-129.0446,53.8266,-9.9242,
0.7500,180.0000,180.0000,180.0000,180.0000,-128.4934,-129.0457,53.8249,-9.9242,
0.7583,180.0000,180.0000,180.0000,180.0000,-128.4977,-129.0460,53.8229,-9.9242,
0.7667,180.0000,180.0000,180.0000,180.0000,-128.5025,-129.0452,53.8206,-9.9242,
0.7750,180.0000,180.0000,180.0000,180.0000,-128.5078,-129.0426,53.8179,-9.9242,
0.7833,180.0000,180.0000,180.0000,180.0000,-128.5136,-129.0378,53.8148,-9.9242,
0.7917,180.0000,180.0000,180.0000,180.0000,-128.5199,-129.0308,53.8114,-9.9242,
0.8000,180.0000,180.0000,180.0000,180.0000,-128.5270,-129.0217,53.8077,-9.9242,
0.8083,180.0000,180.0000,180.0000,180.0000,-128.5347,-129.0115,53.8038,-9.9242,
0.8167,180.0000,180.0000,180.0000,180.0000,-128.5432,-129.0016,53.7997,-9.9242,
0.8250,180.0000,180.0000,180.0000,180.0000,-128.5526,-128.9935,53.7953,-9.9242,
0.8333,180.0000,180.0000,180.0000,180.0000,-128.5627,-128.9877,53.7908,-9.9243,
0.8417,180.0000,180.0000,180.0000,180.0000,-128.5736,-128.9844,53.7860,-9.9243,
0.8500,180.0000,180.0000,180.0000,180.0000,-128.5854,-128.9831,53.7810,-9.9243,
0.8583,180.0000,180.0000,180.0000,180.0000,-128.5978,-128.9832,53.7757,-9.9243,
0.8667,180.0000,180.0000,180.0000,180.0000,-128.6108,-128.9843,53.7702,-9.9243,
0.8750,180.0000,180.0000,180.0000,180.0000,-128.6241,-128.9858,53.7646,-9.9243,
0.8833,180.0000,180.0000,180.0000,180.0000,-128.6376,-128.9873,53.7587,-9.9243,
0.8917,180.0000,180.0000,180.0000,180.0000,-128.6512,-128.9885,53.7527,-9.9243,
0.9000,180.0000,180.0000,180.0000,180.0000,-128.6647,-128.9895,53.7465,-9.9243,
0.9083,180.0000,180.0000,180.0000,180.0000,-128.6779,-128.9902,53.7402,-9.9243,
0.9167,180.0000,180.0000,180.0000,180.0000,-128.6909,-128.9908,53.7339,-9.9243,
0.9250,180.0000,180.0000,180.0000,180.0000,-128.7037,-128.9914,53.7275,-9.9243,
0.9333,180.0000,180.0000,180.0000,180.0000,-128.7162,-128.9921,53.7211,-9.9243,
0.9417,180.0000,180.0000,180.0000,180.0000,-128.7286,-128.9929,53.7147,-9.9243,
0.9500,180.0000,180.0000,180.0000,180.0000,-128.7409,-128.9939,53.7084,-9.9243,
0.9583,180.0000,180.0000,180.0000,180.0000,-128.7532,-128.9950,53.7022,-9.9243,
0.9667,180.0000,180.0000,180.0000,180.0000,-128.7656,-128.9962,53.6961,-9.9243,
0.9750,180.0000,180.0000,180.0000,180.0000,-128.7782,-128.9973,53.6900,-9.9243,
0.9833,180.0000,180.0000,180.0000,180.0000,-128.7911,-128.9984,53.6840,-9.9243,
0.9917,180.0000,180.0000,180.0000,180.0000,-128.8043,-128.9993,53.6781,-9.9243,
1.0000,180.0000,180.0000,180.0000,180.0000,-128.8180,-128.9999,53.6722,-9.9243,
1.0083,180.0000,180.0000,180.0000,180.0000,-128.8321,-129.0004,53.6663,-9.9243,
1.0167,180.0000,180.0000,180.0000,180.0000,-128.8467,-129.0006,53.6604,-9.9243,
1.0250,180.0000,180.0000,180.0000,180.0000,-128.8617,-129.0006,53.6545,-9.9243,
1.0333,180.0000,180.0000,180.0000,180.0000,-128.8771,-129.0005,53.6485,-9.9243,
1.0417,180.0000,180.0000,180.0000,180.0000,-128.8928,-129.0003,53.6424,-9.9243,
1.0500,180.0000,180.0000,180.0000,180.0000,-128.9088,-129.0001,53.6361,-9.9243,
1.0583,180.0000,180.0000,180.0000,180.0000,-128.9250,-128.9998,53.6297,-9.9243,
1.0667,180.0000,180.0000,180.0000,180.0000,-128.9414,-128.9996,53.6231,-9.9243,
1.0750,180.0000,180.0000,180.0000,180.0000,-128.9577,-128.9995,53.6164,-9.9243,
1.0833,180.0000,180.0000,180.0000,180.0000,-128.9738,-128.9994,53.6096,-9.9243,
1.0917,180.0000,180.0000,180.0000,180.0000,-128.9896,-128.9996,53.6027,-9.9243,
1.1000,180.0000,180.0000,180.0000,180.0000,-129.0050,-129.0001,53.5957,-9.9243,
1.1083,180.0000,180.0000,180.0000,180.0000,-129.0199,-129.0009,53.5887,-9.9242,
1.1167,180.0000,180.0000,180.0000,180.0000,-129.0342,-129.0021,53.5817,-9.9242,
1.1250,180.0000,180.0000,180.0000,180.0000,-129.0482,-129.0038,53.5746,-9.9242,
1.1333,180.0000,180.0000,180.0000,180.0000,-129.0618,-129.0059,53.5674,-9.9242,
1.1417,180.0000,180.0000,180.0000,180.0000,-129.0752,-129.0085,53.5601,-9.9242,
1.1500,180.0000,180.0000,180.0000,180.0000,-129.0885,-129.0115,53.5527,-9.9241,
1.1583,180.0000,180.0000,180.0000,180.0000,-129.1020,-129.0147,53.5452,-9.9241,
1.1667,180.0000,180.0000,180.0000,180.0000,-129.1155,-129.0182,53.5376,-9.9241,
1.1750,180.0000,180.0000,180.0000,180.0000,-129.1293,-129.0220,53.5300,-9.9241,
1.1833,180.0000,180.0000,180.0000,180.0000,-129.1434,-129.0258,53.5223,-9.9241,
1.1917,180.0000,180.0000,180.0000,180.0000,-129.1577,-129.0298,53.5146,-9.9241,
1.2000,180.0000,180.0000,180.0000,180.0000,-129.1723,-129.0339,53.5067,-9.9240,
1.2083,180.0000,180.0000,180.0000,180.0000,-129.1871,-129.0381,53.4988,-9.9240,
1.2167,180.0000,180.0000,180.0000,180.0000,-129.2021,-129.0425,53.4908,-9.9240,
1.2250,180.0000,180.0000,180.0000,180.0000,-129.2173,-129.0471,53.4827,-9.9240,
1.2333,180.0000,180.0000,180.0000,180.0000,-129.2327,-129.0520,53.4744,-9.9240,
1.2417,180.0000,180.0000,180.0000,180.0000,-129.2483,-129.0571,53.4660,-9.9240,
1.2500,180.0000,180.0000,180.0000,180.0000,-129.2642,-129.0625,53.4574,-9.9240,
1.2583,180.0000,180.0000,180.0000,180.0000,-129.2802,-129.0679,53.4487,-9.9239,
1.2667,180.0000,180.0000,180.0000,180.0000,-129.2966,-129.0736,53.4399,-9.9239,
1.2750,180.0000,180.0000,180.0000,180.0000,-129.3132,-129.0793,53.4309,-9.9239,
1.2833,180.0000,180.0000,180.0000,180.0000,-129.3300,-129.0850,53.4218,-9.9239,
1.2917,180.0000,180.0000,180.0000,180.0000,-129.3470,-129.0909,53.4126,-9.9238,
1.3000,180.0000,180.0000,180.0000,180.0000,-129.3642,-129.0969,53.4031,-9.9238,
1.3083,180.0000,180.0000,180.0000,180.0000,-129.3815,-129.1030,53.3936,-9.9238,
1.3167,180.0000,180.0000,180.0000,180.0000,-129.3989,-129.1092,53.3839,-9.9238,
1.3250,180.0000,180.0000,180.0000,180.0000,-129.4162,-129.1156,53.3741,-9.9237,
1.3333,180.0000,180.0000,180.0000,180.0000,-129.4334,-129.1220,53.3642,-9.9237,
1.3417,180.0000,180.0000,180.0000,180.0000,-129.4506,-129.1286,53.3542,-9.9237,
1.3500,180.0000,180.0000,180.0000,180.0000,-129.4677,-129.1355,53.3440,-9.9236,
1.3583,48.5345,180.0000,84.8393,180.0000,-129.5265,-129.1425,53.3336,-9.9236,
1.3667,48.4885,180.0000,85.5305,180.0000,-129.5414,-129.1498,53.3230,-9.9236,
1.3750,48.4479,180.0000,86.4998,180.0000,-129.5561,-129.1575,53.3121,-9.9235,
1.3833,48.4108,180.0000,87.5771,180.0000,-129.5707,-129.1654,53.3008,-9.9235,
1.3917,48.3756,180.0000,88.6585,180.0000,-129.5855,-129.1738,53.2889,-9.9235,
1.4000,48.3413,180.0000,89.6922,180.0000,-129.6004,-129.1826,53.2766,-9.9234,
1.4083,48.3071,180.0000,90.6603,180.0000,-129.6155,-129.1919,53.2636,-9.9234,
1.4167,48.2730,180.0000,91.5622,180.0000,-129.6306,-129.2016,53.2502,-9.9233,
1.4250,48.2390,180.0000,92.4040,180.0000,-129.6455,-129.2117,53.2363,-9.9233,
1.4333,48.2056,180.0000,93.1938,180.0000,-129.6603,-129.2222,53.2222,-9.9232,
1.4417,48.1731,180.0000,93.9398,180.0000,-129.6747,-129.2330,53.2081,-9.9231,
1.4500,48.1415,180.0000,94.6506,180.0000,-129.6888,-129.2440,53.1942,-9.9231,
1.4583,24.7391,180.0000,95.3608,180.0000,-129.7024,-129.2551,53.1804,-9.9230,
1.4667,25.3830,180.0000,96.0332,180.0000,-129.7157,-129.2663,53.1668,-9.9230,
1.4750,26.0087,180.0000,96.6796,180.0000,-129.7287,-129.2775,53.1534,-9.9229,
1.4833,26.5981,180.0000,97.2978,180.0000,-129.7413,-129.2888,53.1400,-9.9228,
1.4917,27.1386,180.0000,97.8818,180.0000,-129.7535,-129.3000,53.1266,-9.9228,
1.5000,27.6186,180.0000,98.4228,180.0000,-129.7653,-129.3114,53.1131,-9.9227,
1.5083,28.0263,180.0000,98.9101,180.0000,-129.7767,-129.3228,53.0994,-9.9226,
1.5167,28.3481,180.0000,99.3322,180.0000,-129.7879,-129.3343,53.0856,-9.9225,
1.5250,28.5678,180.0000,99.6785,180.0000,-129.7989,-129.3460,53.0715,-9.9225,
1.5333,28.6666,180.0000,99.9424,180.0000,-129.8098,-129.3579,53.0571,-9.9224,
1.5417,28.6252,180.0000,100.1249,180.0000,116.2469,90.7483,80.4699,-1.4993,
1.5500,28.4295,180.0000,100.2363,180.0000,115.8665,90.5665,80.4976,-1.4946,
1.5583,28.0790,180.0000,100.2946,180.0000,115.3787,90.2844,80.7355,-1.4882,
1.5667,27.5909,180.0000,100.3225,180.0000,114.8112,89.9492,81.0892,-1.4809,
1.5750,26.9941,180.0000,100.3423,180.0000,114.1876,89.5987,81.4852,-1.4732,
1.5833,26.3174,180.0000,100.3721,180.0000,113.5296,89.2593,81.8729,-1.4653,
1.5917,25.5800,180.0000,100.4219,180.0000,112.8570,88.9468,82.2214,-1.4577,
1.6000,24.7925,180.0000,100.4911,180.0000,112.1885,88.6680,82.5153,-1.4503,
1.6083,23.9626,180.0000,100.5683,180.0000,111.5423,88.4241,82.7495,-1.4432,
1.6167,23.0980,180.0000,100.6348,180.0000,110.9356,88.2129,82.9252,-1.4364,
1.6250,22.2067,180.0000,100.6693,180.0000,110.3840,88.0312,83.0468,-1.4300,
1.6333,21.2937,180.0000,100.6532,180.0000,109.8991,87.8761,83.1196,-1.4238,
1.6417,20.3625,180.0000,100.5738,180.0000,109.4881,87.7456,83.1491,-1.4178,
1.6500,19.4183,180.0000,100.4251,180.0000,109.1526,87.6392,83.1402,-1.4120,
1.6583,18.4713,180.0000,100.2067,180.0000,108.8894,87.5580,83.0971,-1.4064,
1.6667,17.5368,180.0000,99.9225,180.0000,108.6918,87.5043,83.0238,-1.4008,
1.6750,16.6336,180.0000,99.5791,180.0000,108.5504,87.4814,82.9243,-1.3954,
1.6833,15.7806,180.0000,99.1851,180.0000,108.4542,87.4933,82.8026,-1.3900,
1.6917,14.9954,180.0000,98.7506,180.0000,108.3908,87.5444,82.6624,-1.3846,
1.7000,14.2916,180.0000,98.2869,180.0000,108.3473,87.6395,82.5071,-1.3793,
1.7083,13.6768,180.0000,97.8054,180.0000,108.3109,87.7833,82.3404,-1.3739,
1.7167,13.1525,180.0000,97.3167,180.0000,108.2700,87.9808,82.1664,-1.3686,
1.7250,12.7151,180.0000,96.8292,180.0000,108.2153,88.2361,81.9888,-1.3633,
1.7333,12.3578,180.0000,96.3488,180.0000,108.1402,88.5530,81.8108,-1.3579,
1.7417,12.0718,180.0000,95.8792,180.0000,108.0413,88.9340,81.6344,-1.3526,
1.7500,11.8466,180.0000,95.4232,180.0000,107.9172,89.3811,81.4602,-1.3473,
1.7583,11.6715,180.0000,94.9843,180.0000,107.7668,89.8944,81.2882,-1.3421,
1.7667,11.5370,180.0000,94.5673,180.0000,107.5884,90.4712,81.1190,-1.3369,
1.7750,11.4344,180.0000,94.1772,180.0000,107.3800,91.1049,80.9537,-1.3317,
1.7833,11.3564,180.0000,93.8175,180.0000,107.1402,91.7868,80.7940,-1.3266,
1.7917,11.2971,180.0000,93.4906,180.0000,106.8687,92.5073,80.6412,-1.3216,
1.8000,11.2530,180.0000,93.1976,180.0000,106.5653,93.2576,80.4962,-1.3166,
1.8083,11.2221,180.0000,92.9395,180.0000,106.2300,94.0298,80.3591,-1.3117,
1.8167,11.2035,180.0000,92.7178,180.0000,105.8623,94.8170,80.2303,-1.3068,
1.8250,11.1959,180.0000,92.5331,180.0000,105.4632,95.6136,80.1103,-1.3019,
1.8333,11.1980,180.0000,92.3845,180.0000,105.0351,96.4157,79.9992,-1.2971,
1.8417,11.2088,180.0000,92.2697,180.0000,104.5821,97.2212,79.8974,-1.2923,
1.8500,11.2279,-49.6256,92.1849,49.7486,104.1089,98.0290,79.8043,-1.2876,
1.8583,11.2551,-51.7289,92.1263,49.7135,103.6208,98.8382,79.7195,-1.2829,
1.8667,11.2895,-53.9631,92.0898,49.6789,103.1229,99.6486,79.6422,-1.2783,
1.8750,11.3297,-56.0527,92.0715,49.6448,102.6197,100.4603,79.5717,-1.2737,
1.8833,11.3742,-57.7549,92.0673,49.6113,102.1146,101.2738,79.5075,-1.2692,
1.8917,11.4212,-61.1313,92.0726,37.9485,101.6099,98.8739,79.4494,-1.2648,
1.9000,11.4691,-61.7632,92.0824,37.8998,101.1072,99.7204,79.3974,-1.2604,
1.9083,11.5156,-61.5009,92.0920,37.6525,100.6069,100.5233,79.3515,-1.2560,
1.9167,11.5586,-60.6522,92.0970,37.3367,100.1096,101.3163,79.3116,-1.2516,
1.9250,11.5967,-59.4718,92.0934,37.0436,99.6161,102.1167,79.2777,-1.2473,
1.9333,11.6281,-58.1397,92.0773,36.8318,99.1285,102.9317,79.2496,-1.2430,
1.9417,11.6512,-56.7768,92.0458,36.7311,98.6497,103.7628,79.2273,-1.2386,
1.9500,11.6638,-55.4603,91.9964,36.7518,98.1831,104.6049,79.2106,-1.2343,
1.9583,11.6638,-54.2347,91.9272,36.8932,97.7331,105.4508,79.1991,-1.2299,
1.9667,11.6500,-53.1171,91.8370,37.1469,97.3048,106.2948,79.1922,-1.2255,
1.9750,11.6215,-52.1020,91.7248,37.5001,96.9035,107.1312,79.1882,-1.2211,
1.9833,11.5779,-51.1649,91.5906,37.9421,96.5334,107.9511,79.1851,-1.2168,
1.9917,11.5195,-50.2683,91.4358,38.4670,96.1967,108.7441,79.1810,-1.2125,
2.0000,11.4483,-49.3698,91.2621,39.0745,95.8917,109.5037,79.1748,-1.2082,
2.0083,11.3679,-48.4294,91.0722,39.7665,95.6127,110.2295,79.1673,-1.2040,
2.0167,11.2832,-47.4146,90.8686,40.5459,95.3515,110.9233,79.1604,-1.1998,
2.0250,11.2000,-46.3026,90.6543,41.4145,95.1008,111.5876,79.1553,-1.1956,
2.0333,11.1238,-45.0789,90.4325,42.3714,94.8557,112.2240,79.1528,-1.1914,
2.0417,11.0594,-43.7365,90.2061,43.4126,94.6123,112.8330,79.1536,-1.1872,
2.0500,11.0105,-42.2763,89.9773,44.5330,94.3662,113.4133,79.1591,-1.1830,
2.0583,10.9796,-40.7075,89.7471,45.7283,94.1130,113.9617,79.1716,-1.1787,
2.0667,10.9677,-39.0463,89.5158,46.9967,93.8505,114.4749,79.1922,-1.1743,
2.0750,10.9742,-37.3117,89.2825,48.3391,93.5799,114.9499,79.2207,-1.1699,
2.0833,10.9964,-35.5209,89.0466,49.7595,93.3049,115.3844,79.2545,-1.1655,
2.0917,11.0289,-33.6858,88.8081,51.2643,93.0287,115.7763,79.2902,-1.1611,
2.1000,11.0638,-31.8141,88.5679,52.8606,92.7521,116.1233,79.3241,-1.1566,
2.1083,11.0924,-29.9101,88.3267,54.5529,92.4746,116.4228,79.3533,-1.1521,
2.1167,11.1085,-27.9761,88.0843,56.3411,92.1958,116.6724,79.3758,-1.1477,
2.1250,11.1099,-26.0131,87.8406,58.2180,91.9150,116.8706,79.3909,-1.1432,
2.1333,11.0982,-24.0215,87.5976,60.1695,91.6299,117.0186,79.3986,-1.1387,
2.1417,11.0755,-22.0008,87.3599,62.1765,91.3359,117.1203,79.3995,-1.1342,
2.1500,11.0433,-19.9498,87.1319,64.2200,91.0292,117.1825,79.3943,-1.1297,
2.1583,11.0023,-17.8670,86.9125,66.2882,90.7105,117.2107,79.3838,-1.1251,
2.1667,10.9527,-15.7507,86.6944,68.3832,90.3869,117.2055,79.3685,-1.1205,
2.1750,10.8942,-13.5985,86.4690,70.5175,90.0669,117.1625,79.3484,-1.1158,
2.1833,10.8262,-11.4093,86.2305,72.7029,89.7575,117.0763,79.3230,-1.1111,
2.1917,10.7484,-9.1836,85.9751,74.9425,89.4645,116.9452,79.2911,-1.1063,
2.2000,10.6608,-6.9270,85.6991,77.2292,89.1938,116.7720,79.2514,-1.1016,
2.2083,10.5644,-4.6510,85.3992,79.5487,88.9502,116.5622,79.2027,-1.0969,
2.2167,10.4608,-2.3733,85.0739,81.8834,88.7345,116.3220,79.1455,-1.0922,
2.2250,10.3524,-0.1137,84.7255,84.2152,88.5407,116.0568,79.0826,-1.0876,
2.2333,10.2416,2.1128,84.3620,86.5270,88.3537,115.7708,79.0194,-1.0828,
2.2417,10.1307,4.2993,83.9974,88.8040,88.1499,115.4669,78.9627,-1.0780,
2.2500,10.0211,6.4469,83.6499,91.0335,87.9034,115.1486,78.9187,-1.0729,
2.2583,9.9129,8.5596,83.3338,93.2022,87.5974,114.8215,78.8906,-1.0677,
2.2667,9.8055,10.6368,83.0509,95.2928,87.2340,114.4940,78.8773,-1.0622,
2.2750,9.6981,12.6659,82.7882,97.2858,86.8326,114.1755,78.8753,-1.0567,
2.2833,9.5901,14.6204,82.5236,99.1620,86.4199,113.8737,78.8809,-1.0510,
2.2917,9.4810,16.4655,82.2368,100.9050,86.0190,113.5924,78.8907,-1.0452,
2.3000,9.3711,18.1684,81.9162,102.5005,85.6432,113.3322,78.9030,-1.0394,
2.3083,9.2602,19.7052,81.5603,103.9350,85.2959,113.0927,78.9170,-1.0335,
2.3167,9.1478,21.0634,81.1731,105.1929,84.9740,112.8751,78.9326,-1.0276,
2.3250,9.0331,22.2388,80.7596,106.2552,84.6728,112.6838,78.9505,-1.0217,
2.3333,8.9150,23.2295,80.3242,107.1018,84.3875,112.5258,78.9711,-1.0156,
2.3417,8.7929,24.0276,79.8702,107.7182,84.1141,112.4056,78.9947,-1.0095,
2.3500,8.6672,24.6169,79.3995,108.1006,83.8493,112.3213,79.0221,-1.0033,
2.3583,8.5389,24.9797,78.9126,108.2555,83.5898,112.2654,79.0536,-0.9970,
2.3667,8.4095,25.1097,78.4099,108.1960,83.3323,112.2272,79.0898,-0.9906,
2.3750,8.2807,25.0170,77.8920,107.9391,83.0737,112.1951,79.1308,-0.9841,
2.3833,8.1534,24.7267,77.3618,107.5045,82.8112,112.1590,79.1764,-0.9776,
2.3917,8.0267,24.2717,76.8264,106.9153,82.5425,112.1124,79.2262,-0.9710,
2.4000,7.8977,23.6857,76.2952,106.2012,82.2662,112.0526,79.2796,-0.9643,
